longitude,latitude,sunshine_category
135.125,-10.625,8
135.375,-10.625,8
135.625,-10.625,8
135.875,-10.625,8
136.125,-10.625,8
136.375,-10.625,8
136.625,-10.625,8
136.875,-10.625,8
137.125,-10.625,8
137.375,-10.625,8
137.625,-10.625,7
137.875,-10.625,7
138.125,-10.625,7
138.375,-10.625,7
138.625,-10.625,7
138.875,-10.625,7
139.125,-10.625,7
139.375,-10.625,7
139.625,-10.625,7
139.875,-10.625,7
140.125,-10.625,7
140.375,-10.625,7
140.625,-10.625,7
140.875,-10.625,7
141.125,-10.625,7
141.375,-10.625,7
141.625,-10.625,7
141.875,-10.625,7
142.125,-10.625,7
142.375,-10.625,7
142.625,-10.625,7
142.875,-10.625,7
143.125,-10.625,7
143.375,-10.625,7
143.625,-10.625,7
143.875,-10.625,7
144.125,-10.625,7
144.375,-10.625,7
144.625,-10.625,7
144.875,-10.625,7
145.125,-10.625,7
145.375,-10.625,7
145.625,-10.625,7
145.875,-10.625,7
146.125,-10.625,7
146.375,-10.625,7
146.625,-10.625,7
146.875,-10.625,7
147.125,-10.625,7
147.375,-10.625,7
147.625,-10.625,7
147.875,-10.625,7
148.125,-10.625,7
148.375,-10.625,7
148.625,-10.625,7
148.875,-10.625,7
149.125,-10.625,7
149.375,-10.625,7
149.625,-10.625,7
149.875,-10.625,7
150.125,-10.625,7
150.375,-10.625,7
150.625,-10.625,7
150.875,-10.625,7
151.125,-10.625,7
151.375,-10.625,7
151.625,-10.625,6
151.875,-10.625,6
152.125,-10.625,5
152.375,-10.625,5
152.625,-10.625,4
152.875,-10.625,4
153.125,-10.625,3
153.375,-10.625,3
153.625,-10.625,2
153.875,-10.625,2
154.125,-10.625,2
154.375,-10.625,1
154.625,-10.625,1
154.875,-10.625,1
155.125,-10.625,1
155.375,-10.625,1
155.625,-10.625,0
155.875,-10.625,0
156.125,-10.625,0
111.875,-10.875,0
112.125,-10.875,0
112.375,-10.875,0
112.625,-10.875,0
112.875,-10.875,0
113.125,-10.875,0
113.375,-10.875,0
113.625,-10.875,0
113.875,-10.875,0
114.125,-10.875,0
114.375,-10.875,1
114.625,-10.875,1
114.875,-10.875,1
115.125,-10.875,1
115.375,-10.875,1
115.625,-10.875,1
115.875,-10.875,1
116.125,-10.875,1
116.375,-10.875,1
116.625,-10.875,1
116.875,-10.875,2
117.125,-10.875,2
117.375,-10.875,2
117.625,-10.875,2
117.875,-10.875,2
118.125,-10.875,2
118.375,-10.875,2
118.625,-10.875,3
118.875,-10.875,3
119.125,-10.875,3
119.375,-10.875,3
119.625,-10.875,3
119.875,-10.875,3
120.125,-10.875,4
120.375,-10.875,4
120.625,-10.875,4
120.875,-10.875,4
121.125,-10.875,5
121.375,-10.875,5
121.625,-10.875,5
121.875,-10.875,5
122.125,-10.875,6
122.375,-10.875,6
122.625,-10.875,6
122.875,-10.875,7
123.125,-10.875,7
123.375,-10.875,7
123.625,-10.875,8
123.875,-10.875,8
124.125,-10.875,8
124.375,-10.875,8
124.625,-10.875,8
124.875,-10.875,8
125.125,-10.875,8
125.375,-10.875,8
125.625,-10.875,8
125.875,-10.875,8
126.125,-10.875,8
126.375,-10.875,8
126.625,-10.875,8
126.875,-10.875,8
127.125,-10.875,8
127.375,-10.875,8
127.625,-10.875,8
127.875,-10.875,8
128.125,-10.875,8
128.375,-10.875,8
128.625,-10.875,8
128.875,-10.875,8
129.125,-10.875,8
129.375,-10.875,8
129.625,-10.875,8
129.875,-10.875,8
130.125,-10.875,8
130.375,-10.875,8
130.625,-10.875,8
130.875,-10.875,8
131.125,-10.875,8
131.375,-10.875,8
131.625,-10.875,8
131.875,-10.875,8
132.125,-10.875,8
132.375,-10.875,8
132.625,-10.875,8
132.875,-10.875,8
133.125,-10.875,8
133.375,-10.875,8
133.625,-10.875,8
133.875,-10.875,8
134.125,-10.875,8
134.375,-10.875,8
134.625,-10.875,8
134.875,-10.875,8
135.125,-10.875,8
135.375,-10.875,8
135.625,-10.875,8
135.875,-10.875,8
136.125,-10.875,8
136.375,-10.875,8
136.625,-10.875,8
136.875,-10.875,8
137.125,-10.875,8
137.375,-10.875,8
137.625,-10.875,8
137.875,-10.875,7
138.125,-10.875,7
138.375,-10.875,7
138.625,-10.875,7
138.875,-10.875,7
139.125,-10.875,7
139.375,-10.875,7
139.625,-10.875,7
139.875,-10.875,7
140.125,-10.875,7
140.375,-10.875,7
140.625,-10.875,7
140.875,-10.875,7
141.125,-10.875,7
141.375,-10.875,7
141.625,-10.875,7
141.875,-10.875,7
142.125,-10.875,7
142.375,-10.875,7
142.625,-10.875,7
142.875,-10.875,7
143.125,-10.875,7
143.375,-10.875,7
143.625,-10.875,7
143.875,-10.875,7
144.125,-10.875,7
144.375,-10.875,7
144.625,-10.875,7
144.875,-10.875,7
145.125,-10.875,7
145.375,-10.875,7
145.625,-10.875,7
145.875,-10.875,7
146.125,-10.875,7
146.375,-10.875,7
146.625,-10.875,7
146.875,-10.875,7
147.125,-10.875,7
147.375,-10.875,7
147.625,-10.875,7
147.875,-10.875,7
148.125,-10.875,7
148.375,-10.875,7
148.625,-10.875,7
148.875,-10.875,7
149.125,-10.875,7
149.375,-10.875,7
149.625,-10.875,7
149.875,-10.875,7
150.125,-10.875,7
150.375,-10.875,7
150.625,-10.875,7
150.875,-10.875,7
151.125,-10.875,7
151.375,-10.875,7
151.625,-10.875,7
151.875,-10.875,6
152.125,-10.875,6
152.375,-10.875,5
152.625,-10.875,5
152.875,-10.875,4
153.125,-10.875,4
153.375,-10.875,3
153.625,-10.875,3
153.875,-10.875,2
154.125,-10.875,2
154.375,-10.875,2
154.625,-10.875,1
154.875,-10.875,1
155.125,-10.875,1
155.375,-10.875,1
155.625,-10.875,1
155.875,-10.875,0
156.125,-10.875,0
111.875,-11.125,0
112.125,-11.125,0
112.375,-11.125,0
112.625,-11.125,0
112.875,-11.125,0
113.125,-11.125,0
113.375,-11.125,0
113.625,-11.125,0
113.875,-11.125,1
114.125,-11.125,1
114.375,-11.125,1
114.625,-11.125,1
114.875,-11.125,1
115.125,-11.125,1
115.375,-11.125,1
115.625,-11.125,1
115.875,-11.125,1
116.125,-11.125,1
116.375,-11.125,2
116.625,-11.125,2
116.875,-11.125,2
117.125,-11.125,2
117.375,-11.125,2
117.625,-11.125,2
117.875,-11.125,3
118.125,-11.125,3
118.375,-11.125,3
118.625,-11.125,3
118.875,-11.125,3
119.125,-11.125,3
119.375,-11.125,4
119.625,-11.125,4
119.875,-11.125,4
120.125,-11.125,4
120.375,-11.125,4
120.625,-11.125,5
120.875,-11.125,5
121.125,-11.125,5
121.375,-11.125,5
121.625,-11.125,6
121.875,-11.125,6
122.125,-11.125,6
122.375,-11.125,7
122.625,-11.125,7
122.875,-11.125,7
123.125,-11.125,8
123.375,-11.125,8
123.625,-11.125,8
123.875,-11.125,9
124.125,-11.125,9
124.375,-11.125,9
124.625,-11.125,8
124.875,-11.125,8
125.125,-11.125,8
125.375,-11.125,8
125.625,-11.125,8
125.875,-11.125,8
126.125,-11.125,8
126.375,-11.125,8
126.625,-11.125,8
126.875,-11.125,8
127.125,-11.125,8
127.375,-11.125,8
127.625,-11.125,8
127.875,-11.125,8
128.125,-11.125,8
128.375,-11.125,8
128.625,-11.125,8
128.875,-11.125,8
129.125,-11.125,8
129.375,-11.125,8
129.625,-11.125,8
129.875,-11.125,8
130.125,-11.125,8
130.375,-11.125,8
130.625,-11.125,8
130.875,-11.125,8
131.125,-11.125,8
131.375,-11.125,8
131.625,-11.125,8
131.875,-11.125,8
132.125,-11.125,8
132.375,-11.125,8
132.625,-11.125,8
132.875,-11.125,8
133.125,-11.125,8
133.375,-11.125,8
133.625,-11.125,8
133.875,-11.125,8
134.125,-11.125,8
134.375,-11.125,8
134.625,-11.125,8
134.875,-11.125,8
135.125,-11.125,8
135.375,-11.125,8
135.625,-11.125,8
135.875,-11.125,8
136.125,-11.125,8
136.375,-11.125,8
136.625,-11.125,8
136.875,-11.125,8
137.125,-11.125,8
137.375,-11.125,8
137.625,-11.125,8
137.875,-11.125,7
138.125,-11.125,7
138.375,-11.125,7
138.625,-11.125,7
138.875,-11.125,7
139.125,-11.125,7
139.375,-11.125,7
139.625,-11.125,7
139.875,-11.125,7
